,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,AUC,Mutual Information,Normalized MI,Randomized Dependence Coefficient,Pearson Correlation,Statistical Parity Abs Diff,Disparate Impact,Disparate Impact Obj,Equal Opportunity Abs Diff,Predictive Equality Abs Diff,Average Odds Diff,Average Odds Error,Consistency,Consistency Obj,Model,Preprocessor,ModelPreprocessor
0,0.6080971659919029,0.564638783269962,0.5380434782608695,0.5510204081632654,0.6013789865682093,0.6215319774227088,0.006310173731499891,0.009514839787335558,0.5712109031838666,0.11174464905245203,0.11624215834769641,1.3323433520544878,0.33234335205448784,0.16502803282684647,0.041978647941819214,-0.10350334038433284,0.10350334038433284,0.9823481781376519,0.01765182186234815,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.6008097165991902,0.5561904761904762,0.5289855072463768,0.5422469823584031,0.5939217433742865,0.6347237252530397,0.0078298498644008,0.011808458243227212,0.5861829160841415,0.12436651521017826,0.12934011153861774,1.3799923276927666,0.3799923276927666,0.20625660193385875,0.039452943073120084,-0.12285477250348942,0.12285477250348942,0.9818623481781377,0.018137651821862333,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6696356275303643,0.6469387755102041,0.5742753623188406,0.6084452975047985,0.6604905362106648,0.717265314999894,0.009890367865323796,0.015031708299656105,0.6345556440796564,0.13934501647144132,0.1434130120649733,1.4735964584471213,0.4735964584471213,0.17952384821646217,0.052869630638053944,-0.11619673942725806,0.11619673942725806,0.9959514170040485,0.004048582995951455,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.6680161943319838,0.6802030456852792,0.4855072463768116,0.5665961945031713,0.6505135060580983,0.7203208882381649,0.015994442902753397,0.02518032067751942,0.643751702783473,0.17507831541483956,0.17167197664769,1.8310484324081355,0.8310484324081355,0.22653774274802957,0.0733708307956866,-0.14995428677185807,0.14995428677185807,0.9961133603238866,0.003886639676113357,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.6566801619433198,0.6338912133891214,0.5489130434782609,0.5883495145631068,0.6463452479470367,0.7064222738557516,0.01149593595920298,0.017528766584515087,0.6036158999028596,0.14996524689727528,0.15366446723190397,1.5365660904982876,0.5365660904982876,0.21602340131632403,0.05160677820370435,-0.1338150897600142,0.1338150897600142,0.977165991902834,0.02283400809716596,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.668825910931174,0.668235294117647,0.5144927536231884,0.5813715455475947,0.65402529335625,0.7126753241241752,0.03616464473386205,0.056156537921351876,0.5997589831665693,0.26030511357387864,0.26016005385423374,2.497678147863562,1.497678147863562,0.30272202811408144,0.17095081144986207,-0.23683641978197176,0.23683641978197176,0.9784615384615385,0.021538461538461506,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
0,0.605668016194332,0.578088578088578,0.44765342960288806,0.5045778229908443,0.590933910102472,0.6119080562137863,0.0047800268980311145,0.007519775176043516,0.6599554585109059,0.09681062677815887,0.09896163865266872,1.353562945368171,0.353562945368171,0.08905460270113513,0.07569306373560417,-0.08237383321836965,0.08237383321836965,0.9862348178137652,0.013765182186234792,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.6234817813765182,0.5867446393762183,0.5433212996389891,0.5641986879100281,0.6160071990118587,0.6295994423151343,0.013619497043542844,0.02088434814586865,0.5523148038121389,0.1631409454808503,0.1725988649344527,1.5797551617029053,0.5797551617029053,0.18319661943823012,0.12747120831301348,-0.1553339138756218,0.1553339138756218,0.9855870445344129,0.014412955465587074,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6639676113360324,0.6514161220043573,0.5397111913357401,0.5903257650542942,0.6523812931715411,0.7137584355137114,0.024500114146201263,0.038122012273786525,0.5984820762434401,0.2160626709445473,0.22416335756982342,2.0243744130807046,1.0243744130807046,0.29760543541304174,0.12343849645496491,-0.21052196593400332,0.21052196593400332,0.9965991902834008,0.0034008097165991735,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.6672064777327935,0.667447306791569,0.5144404332129964,0.581039755351682,0.6529617731410062,0.7135092797277309,0.03952628788282747,0.06223168139285316,0.5973515985802812,0.2700337811371708,0.27573087221144377,2.747777948049958,1.7477779480499578,0.364023531361339,0.1652755373823011,-0.26464953437182004,0.26464953437182004,0.9938461538461538,0.006153846153846176,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
