,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,AUC,Mutual Information,Normalized MI,Randomized Dependence Coefficient,Pearson Correlation,Statistical Parity Abs Diff,Disparate Impact,Disparate Impact Obj,Equal Opportunity Abs Diff,Predictive Equality Abs Diff,Average Odds Diff,Average Odds Error,Consistency,Consistency Obj,Model,Preprocessor,ModelPreprocessor
0,0.6080971659919029,0.564638783269962,0.5380434782608695,0.5510204081632654,0.6013789865682093,0.6215319774227088,0.006310173731499891,0.009514839787335558,0.5709801142990917,0.11174464905245203,0.11624215834769641,1.3323433520544878,0.33234335205448784,0.16502803282684647,0.041978647941819214,-0.10350334038433284,0.10350334038433284,0.9823481781376519,0.01765182186234815,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.6291497975708502,0.5936254980079682,0.5398550724637681,0.5654648956356737,0.6205863942113863,0.6491965858212915,0.015487003930760412,0.023468565174979077,0.5787275792890951,0.17395518285929945,0.179747210083741,1.6225391178510054,0.6225391178510054,0.23034045665068664,0.09752624225271381,-0.16393334945170024,0.16393334945170024,0.9847773279352227,0.015222672064777343,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6696356275303643,0.6469387755102041,0.5742753623188406,0.6084452975047985,0.6604905362106648,0.717265314999894,0.009890367865323796,0.015031708299656105,0.6345024608493295,0.13934501647144132,0.1434130120649733,1.4735964584471213,0.4735964584471213,0.17952384821646217,0.052869630638053944,-0.11619673942725806,0.11619673942725806,0.9959514170040485,0.004048582995951455,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.648582995951417,0.642512077294686,0.48188405797101447,0.5507246376811594,0.6325964945784794,0.7036531606085683,6.635015881212292e-05,0.00010350448073488119,0.6836592799457369,0.011529388441739369,0.011449827933401824,0.9665915979477454,0.03340840205225459,0.011733159990249431,0.0689821946763157,0.04035767733328256,0.04035767733328256,0.9922267206477733,0.007773279352226714,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.6566801619433198,0.6338912133891214,0.5489130434782609,0.5883495145631068,0.6463452479470367,0.7064222738557516,0.01149593595920298,0.017528766584515087,0.8484311855728411,0.14996524689727528,0.15366446723190397,1.5365660904982876,0.5365660904982876,0.21602340131632403,0.05160677820370435,-0.1338150897600142,0.1338150897600142,0.977165991902834,0.02283400809716596,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.659919028340081,0.6404255319148936,0.5452898550724637,0.589041095890411,0.6489260402741528,0.7077325630742461,0.0033254557095283577,0.005082469640575538,0.30774322377452734,0.08111916238426836,0.08285601536702708,1.2539328240744858,0.2539328240744858,0.09436905825952713,0.012574785942034178,-0.05347192210078065,0.05347192210078065,0.9818623481781377,0.018137651821862333,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
0,0.605668016194332,0.578088578088578,0.44765342960288806,0.5045778229908443,0.590933910102472,0.6119080562137863,0.0047800268980311145,0.007519775176043516,0.4887506029511657,0.09681062677815887,0.09896163865266872,1.353562945368171,0.353562945368171,0.08905460270113513,0.07569306373560417,-0.08237383321836965,0.08237383321836965,0.9862348178137652,0.013765182186234792,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.6210526315789474,0.5849802371541502,0.5342960288808665,0.5584905660377358,0.6129629924140015,0.647626128490169,0.010731593370495923,0.01648130592526376,0.56725014858234,0.14499622522864838,0.15308879258762303,1.5013657957244655,0.5013657957244655,0.1524898500289999,0.11650785909892333,-0.1344988545639616,0.1344988545639616,0.9854251012145749,0.014574898785425061,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6639676113360324,0.6514161220043573,0.5397111913357401,0.5903257650542942,0.6523812931715411,0.7137584355137114,0.024500114146201263,0.038122012273786525,0.5984623321483812,0.2160626709445473,0.22416335756982342,2.0243744130807046,1.0243744130807046,0.29760543541304174,0.12343849645496491,-0.21052196593400332,0.21052196593400332,0.9965991902834008,0.0034008097165991735,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.6680161943319838,0.6722488038277512,0.5072202166064982,0.5781893004115226,0.6530227367907675,0.7145960230495607,0.00010910116491030797,0.00017241983636467046,0.6568797135982031,0.014751718562684089,0.01498612899131474,1.0456554162293543,0.04565541622935432,0.05118899660286691,0.0633135761713621,0.006062289784247596,0.057251286387114506,0.9928744939271255,0.007125506072874543,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.6704453441295547,0.6705336426914154,0.5216606498194946,0.5868020304568529,0.6565718814442554,0.7082544781776641,0.028215978757803906,0.04435298749299069,0.23518745199606583,0.23032264824284374,0.23569533341794954,2.251733324773705,1.251733324773705,0.32799734857900403,0.12056870615598156,-0.22428302736749278,0.22428302736749278,0.9826720647773279,0.017327935222672064,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.6761133603238867,0.671875,0.5433212996389891,0.6007984031936128,0.6637311344009924,0.7108229032480372,0.021134911666409684,0.03301027148689606,0.5853081668028156,0.20089340998231886,0.20736704683505283,1.9367270046686869,0.9367270046686869,0.27500207142265304,0.10646359305248154,-0.1907328322375673,0.1907328322375673,0.9872064777327936,0.012793522267206425,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
0,0.6340080971659919,0.6318289786223278,0.4724689165186501,0.540650406504065,0.620907077306944,0.6822388036031464,0.013056344054447055,0.020445275268600932,0.6267748480461675,0.15875358642807263,0.15979305247597927,1.6824494949494948,0.6824494949494948,0.16055192726341405,0.11015616222896302,-0.13535404474618853,0.13535404474618853,0.9763562753036438,0.023643724696356228,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.6404858299595142,0.622680412371134,0.5364120781527532,0.5763358778625954,0.6320453247906623,0.6693811849784319,0.013460675285543788,0.020621160455053113,0.6016606795967787,0.16200150186361137,0.16799704360679968,1.5989459815546772,0.5989459815546772,0.23011909335382258,0.07083473766992474,-0.15047691551187364,0.15047691551187364,0.9765182186234818,0.02348178137651824,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6574898785425102,0.6372549019607843,0.5772646536412078,0.6057781919850885,0.6509835172967944,0.7185848029264993,0.017119615305777686,0.026067353952085884,0.5739600309794142,0.18268089760378634,0.19099778270509982,1.6693084693084694,0.6693084693084694,0.22299590216416953,0.10712279519155152,-0.16505934867786054,0.16505934867786054,0.9964372469635627,0.0035627530364372717,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.6647773279352227,0.671264367816092,0.5186500888099467,0.5851703406813628,0.6529262348811637,0.7104227459189715,0.00046074063610931915,0.0007174472818832466,0.6659304411706549,0.03028356665237128,0.030716925351071678,1.092602495543672,0.09260249554367195,0.04357152004097836,0.04465790360633637,0.0005431917826790034,0.044114711823657365,0.9946558704453441,0.0053441295546559076,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.6663967611336032,0.6609808102345416,0.5506216696269982,0.6007751937984495,0.6570072633849277,0.7085064598663623,0.023300702618661434,0.03586048306178373,0.5884966090137889,0.21150689276397422,0.2179748706577975,1.9309343434343433,0.9309343434343433,0.2766199257267256,0.11352657004830921,-0.1950732478875174,0.1950732478875174,0.9748987854251012,0.025101214574898778,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.6510121457489878,0.6534883720930232,0.4991119005328597,0.5659617321248742,0.6386928550283346,0.702690201302546,0.009036871494101734,0.014099335231999927,0.633093447481967,0.13265056744863765,0.13419068736141904,1.5190394511149228,0.5190394511149228,0.18803624023562554,0.03904055724075947,-0.1135383987381925,0.1135383987381925,0.9736032388663968,0.02639676113360323,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
0,0.6283400809716599,0.5907079646017699,0.49353049907578556,0.5377643504531721,0.6134799469442328,0.6316166561016795,0.0021963589736551103,0.003393098486823671,0.2735519465950558,0.06594794733132195,0.06729450946471549,1.2094731347247536,0.2094731347247536,0.09626178121359741,0.002979509339280706,-0.04664113593715835,0.04962064527643906,0.9781376518218623,0.021862348178137703,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.648582995951417,0.6207674943566591,0.5083179297597042,0.5589430894308943,0.6331215009029069,0.6672282090482455,0.006065124858397608,0.00939976125745286,0.6364070942626718,0.10908938023171157,0.11083455430222366,1.3888602159417,0.38886021594170006,0.14495746408274202,0.029289796487315306,-0.08712363028502866,0.08712363028502866,0.9808906882591093,0.0191093117408907,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6680161943319838,0.6297029702970297,0.5878003696857671,0.6080305927342257,0.6591739600590218,0.7224054078528929,0.017077099962878317,0.02598712379360078,0.5545439957281012,0.18242550056516837,0.18998570142456178,1.6722570973484494,0.6722570973484494,0.27182392601221367,0.06826735433509898,-0.1700456401736563,0.1700456401736563,0.9978947368421053,0.002105263157894721,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.6753036437246963,0.6508620689655172,0.5582255083179297,0.6009950248756218,0.6623980567526249,0.7142259770837439,0.0001243440693949882,0.0001913368617827112,0.6500336394696622,0.01578412446271837,0.016193283788475232,0.9580998781973203,0.04190012180267966,0.02165625330932963,0.11794326735433514,0.04814350702250275,0.06979976033183238,0.9954655870445344,0.004534412955465639,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.668825910931174,0.65,0.5286506469500925,0.5830784913353722,0.653374314829513,0.7102521214316534,0.025496981525883172,0.03955900780595948,0.6012083206368831,0.22026532107166727,0.22345201739365803,2.075687618615982,1.0756876186159818,0.29665713579723957,0.1109910788960134,-0.20382410734662648,0.20382410734662648,0.9776518218623482,0.022348178137651775,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.6615384615384615,0.6369710467706013,0.5286506469500925,0.5777777777777777,0.6468901649736053,0.7037266882227916,0.01419992254343383,0.021959951039655402,0.6132840486683522,0.16586456010571302,0.1690115153547871,1.6727958399700178,0.6727958399700178,0.19162342475908084,0.08999512127125733,-0.1408092730151691,0.1408092730151691,0.9782995951417004,0.021700404858299605,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
