,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,AUC,Mutual Information,Normalized MI,Randomized Dependence Coefficient,Pearson Correlation,Statistical Parity Abs Diff,Disparate Impact,Disparate Impact Obj,Equal Opportunity Abs Diff,Predictive Equality Abs Diff,Average Odds Diff,Average Odds Error,Consistency,Consistency Obj,Model,Preprocessor,ModelPreprocessor
0,0.635,0.6951219512195121,0.8321167883211679,0.7574750830564784,0.5192329973351871,0.5740933843123623,0.007083820637400845,0.022737056900758983,0.8790569242992561,0.08922769865067531,0.18652849740932642,0.8134715025906736,0.18652849740932642,0.17692307692307696,,,,0.846,0.15400000000000003,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.56,0.6737588652482269,0.6934306569343066,0.683453237410072,0.48163596338778825,0.5130344108446299,0.002306942950333117,0.0060846523988780645,0.7912510368123455,0.06353548753216708,0.15766099185788296,0.8160621761658032,0.18393782383419677,0.17252747252747247,,,,0.776,0.22399999999999998,KNeighborsClassifier,DisparateImpactRemover,"('KNeighborsClassifier', 'DisparateImpactRemover')"
2,0.685,0.685,1.0,0.8130563798219584,0.5,0.5,0.0,0.0,0.9986464694172106,,0.0,1.0,0.0,0.0,,,,1.0,0.0,KNeighborsClassifier,LFR,"('KNeighborsClassifier', 'LFR')"
3,0.65,0.6914285714285714,0.8832116788321168,0.7756410256410255,0.5130344108446299,0.5691692735488355,5.0931574877701585e-05,0.0001927457148019929,0.9117397780218701,0.010283082153552862,0.01850481125092529,1.0215889464594128,0.021588946459412783,0.027472527472527486,,,,0.908,0.09199999999999997,KNeighborsClassifier,MetricOptRemover,"('KNeighborsClassifier', 'MetricOptRemover')"
4,0.635,0.6951219512195121,0.8321167883211679,0.7574750830564784,0.5192329973351871,0.5740933843123623,0.007083820637400845,0.022737056900758983,0.8790259468014395,0.08922769865067531,0.18652849740932642,0.8134715025906736,0.18652849740932642,0.17692307692307696,,,,0.846,0.15400000000000003,KNeighborsClassifier,Reweighing,"('KNeighborsClassifier', 'Reweighing')"
5,0.755,0.775,0.9051094890510949,0.835016835016835,0.6668404588112617,0.8052369366237979,0.007967291932973464,0.024435164620024638,0.9283810825829729,0.09522267331341563,0.20725388601036265,0.7927461139896373,0.20725388601036265,0.09999999999999998,,,,0.764,0.236,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
6,0.755,0.7972972972972973,0.8613138686131386,0.8280701754385965,0.6925616962113312,0.8116093152589503,0.010759974385985055,0.029692050328850264,0.8612627508085172,0.11288628464719692,0.26943005181347146,0.7305699481865285,0.26943005181347146,0.1461538461538462,,,,0.736,0.264,LogisticRegression,DisparateImpactRemover,"('LogisticRegression', 'DisparateImpactRemover')"
7,0.685,0.685,1.0,0.8130563798219584,0.5,0.5,0.0,0.0,0.9928155029174545,,0.0,1.0,0.0,0.0,,,,1.0,0.0,LogisticRegression,LFR,"('LogisticRegression', 'LFR')"
8,0.74,0.7428571428571429,0.948905109489051,0.8333333333333334,0.6173096976016683,0.8001390337156761,0.0047633497704838434,0.01802644545291252,0.9663888008996566,0.07198157507486945,0.1295336787564767,0.8704663212435233,0.1295336787564767,0.05384615384615388,,,,0.8220000000000001,0.17799999999999994,LogisticRegression,MetricOptRemover,"('LogisticRegression', 'MetricOptRemover')"
9,0.755,0.7933333333333333,0.8686131386861314,0.8292682926829269,0.6882748233113196,0.8119568995481404,0.01027877431846344,0.028790083988351336,0.864677691282607,0.10995367214091205,0.2590673575129534,0.7409326424870466,0.2590673575129534,0.1384615384615384,,,,0.712,0.28800000000000003,LogisticRegression,Reweighing,"('LogisticRegression', 'Reweighing')"
