,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,AUC,Mutual Information,Normalized MI,Randomized Dependence Coefficient,Pearson Correlation,Statistical Parity Abs Diff,Disparate Impact,Disparate Impact Obj,Equal Opportunity Abs Diff,Predictive Equality Abs Diff,Average Odds Diff,Average Odds Error,Consistency,Consistency Obj,Model,Preprocessor,ModelPreprocessor
0,0.635,0.6951219512195121,0.8321167883211679,0.7574750830564784,0.5192329973351871,0.5740933843123623,0.007083820637400845,0.022737056900758983,0.8789356751599474,0.08922769865067531,0.18652849740932642,0.8134715025906736,0.18652849740932642,0.17692307692307696,,,,0.846,0.15400000000000003,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.56,0.6737588652482269,0.6934306569343066,0.683453237410072,0.48163596338778825,0.5130344108446299,0.002306942950333117,0.0060846523988780645,0.7908916006546706,0.06353548753216708,0.15766099185788296,0.8160621761658032,0.18393782383419677,0.17252747252747247,,,,0.776,0.22399999999999998,KNeighborsClassifier,DisparateImpactRemover,"('KNeighborsClassifier', 'DisparateImpactRemover')"
2,0.685,0.685,1.0,0.8130563798219584,0.5,0.5,0.0,0.0,0.998612023645204,,0.0,1.0,0.0,0.0,,,,1.0,0.0,KNeighborsClassifier,LFR,"('KNeighborsClassifier', 'LFR')"
3,0.67,0.7100591715976331,0.8759124087591241,0.7843137254901962,0.5490673154906731,0.5800023172285946,0.006009951683054515,0.02061735065485418,0.8454973815169932,0.08156575492428246,0.1606217616580311,0.8393782383419689,0.1606217616580311,0.13076923076923075,,,,0.846,0.15400000000000003,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
4,0.635,0.6951219512195121,0.8321167883211679,0.7574750830564784,0.5192329973351871,0.5740933843123623,0.007083820637400845,0.022737056900758983,0.8790393291146847,0.08922769865067531,0.18652849740932642,0.8134715025906736,0.18652849740932642,0.17692307692307696,,,,0.846,0.15400000000000003,KNeighborsClassifier,Reweighing,"('KNeighborsClassifier', 'Reweighing')"
5,0.755,0.775,0.9051094890510949,0.835016835016835,0.6668404588112617,0.8052369366237979,0.007967291932973464,0.024435164620024638,0.9283953532217227,0.09522267331341563,0.20725388601036265,0.7927461139896373,0.20725388601036265,0.09999999999999998,,,,0.764,0.236,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
6,0.755,0.7972972972972973,0.8613138686131386,0.8280701754385965,0.6925616962113312,0.8116093152589503,0.010759974385985055,0.029692050328850264,0.8612634643413117,0.11288628464719692,0.26943005181347146,0.7305699481865285,0.26943005181347146,0.1461538461538462,,,,0.736,0.264,LogisticRegression,DisparateImpactRemover,"('LogisticRegression', 'DisparateImpactRemover')"
7,0.685,0.685,1.0,0.8130563798219584,0.5,0.5,0.0,0.0,0.9985573127173696,,0.0,1.0,0.0,0.0,,,,1.0,0.0,LogisticRegression,LFR,"('LogisticRegression', 'LFR')"
8,0.75,0.7668711656441718,0.9124087591240876,0.8333333333333333,0.6546170779747422,0.81068242382111,0.007302606251950075,0.023160612726785993,0.9464846530971144,0.09073553939841258,0.1917098445595855,0.8082901554404145,0.1917098445595855,0.09230769230769231,,,,0.761,0.239,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
9,0.755,0.7933333333333333,0.8686131386861314,0.8292682926829269,0.6882748233113196,0.8119568995481404,0.01027877431846344,0.028790083988351336,0.8664763883647857,0.10995367214091205,0.2590673575129534,0.7409326424870466,0.2590673575129534,0.1384615384615384,,,,0.712,0.28800000000000003,LogisticRegression,Reweighing,"('LogisticRegression', 'Reweighing')"
10,0.66,0.7716535433070866,0.7153284671532847,0.7424242424242424,0.6275055034179122,0.6275055034179121,0.004443850126167732,0.011000236901722912,0.7994984084361766,0.08787582675359011,0.23019985196150994,0.7314335060449051,0.2685664939550949,0.14945054945054936,,,,0.639,0.361,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
11,0.595,0.7456140350877193,0.6204379562043796,0.6772908366533865,0.5800602479434596,0.5800602479434596,0.006942456796320513,0.01662805371342402,0.7675416375905015,0.11045788601731002,0.29755736491487783,0.6528497409326425,0.3471502590673575,0.24945054945054945,,,,0.631,0.369,DecisionTreeClassifier,DisparateImpactRemover,"('DecisionTreeClassifier', 'DisparateImpactRemover')"
12,0.685,0.685,1.0,0.8130563798219584,0.5,0.5,0.0,0.0,0.9978981502523228,,0.0,1.0,0.0,0.0,,,,1.0,0.0,DecisionTreeClassifier,LFR,"('DecisionTreeClassifier', 'LFR')"
